year,tdb
-12265,-2758556.404380588
-12264,-2758191.162952387
-12263,-2757825.9155632397
-12262,-2757460.6768217366
-12261,-2757095.4340844285
-12260,-2756730.1896255007
-12259,-2756364.9522088924
-12258,-2755999.70471201
-12257,-2755634.460549242
-12256,-2755269.2232444417
-12255,-2754903.976167476
-12254,-2754538.7356106276
-12253,-2754173.4918564893
-12252,-2753808.2420784924
-12251,-2753443.00576297
-12250,-2753077.7581827855
-12249,-2752712.515078526
-12248,-2752347.2792218933
-12247,-2751982.0310352985
-12246,-2751616.791405352
-12245,-2751251.549691015
-12244,-2750886.303630068
-12243,-2750521.0671255877
-12242,-2750155.819906513
-12241,-2749790.57257423
-12240,-2749425.33297942
-12239,-2749060.0856901854
-12238,-2748694.8442010134
-12237,-2748329.605118135
-12236,-2747964.3583890973
-12235,-2747599.1200334392
-12234,-2747233.8758493336
-12233,-2746868.628938508
-12232,-2746503.393765649
-12231,-2746138.1473978534
-12230,-2745772.903913579
-12229,-2745407.6630454846
-12228,-2745042.4131823536
-12227,-2744677.175261206
-12226,-2744311.931354683
-12225,-2743946.685344822
-12224,-2743581.4484961266
-12223,-2743216.202320475
-12222,-2742850.958479776
-12221,-2742485.719663212
-12220,-2742120.473438304
-12219,-2741755.234517374
-12218,-2741389.9907461675
-12217,-2741024.741275442
-12216,-2740659.502325413
-12215,-2740294.2578325514
-12214,-2739929.0133509953
-12213,-2739563.7765947897
-12212,-2739198.530030976
-12211,-2738833.289821065
-12210,-2738468.0477764616
-12209,-2738102.800025544
-12208,-2737737.562776913
-12207,-2737372.3182926485
-12206,-2737007.0718530137
-12205,-2736641.8304342767
-12204,-2736276.5838738196
-12203,-2735911.3423564555
-12202,-2735546.1019087816
-12201,-2735180.8566892827
-12200,-2734815.6169678783
-12199,-2734450.3747957814
-12198,-2734085.1284874855
-12197,-2733719.8898198
-12196,-2733354.646466285
-12195,-2732989.40343957
-12194,-2732624.1615295485
-12193,-2732258.912253931
-12192,-2731893.6707548704
-12191,-2731528.4289327497
-12190,-2731163.183110575
-12189,-2730797.944812244
-12188,-2730432.7001782963
-12187,-2730067.458279969
-12186,-2729702.2167182667
-12185,-2729336.972102424
-12184,-2728971.731920056
-12183,-2728606.489699873
-12182,-2728241.2431082735
-12181,-2727875.9994870657
-12180,-2727510.7564646294
-12179,-2727145.513260008
-12178,-2726780.2722827736
-12177,-2726415.0289248964
-12176,-2726049.7857654924
-12175,-2725684.5448145643
-12174,-2725319.299204265
-12173,-2724954.057691782
-12172,-2724588.816936029
-12171,-2724223.572493192
-12170,-2723858.3291096035
-12169,-2723493.0834193537
-12168,-2723127.84029778
-12167,-2722762.5991587043
