year,tdb
-12651,-2899530.0981661985
-12650,-2899164.853644099
-12649,-2898799.6138601126
-12648,-2898434.3747978164
-12647,-2898069.1305228276
-12646,-2897703.8958198847
-12645,-2897338.6546021663
-12644,-2896973.4100149944
-12643,-2896608.1755892076
-12642,-2896242.933332571
-12641,-2895877.696126448
-12640,-2895512.4616808128
-12639,-2895147.2188088186
-12638,-2894781.9845739016
-12637,-2894416.744831505
-12636,-2894051.502043876
-12635,-2893686.2684429884
-12634,-2893321.026520406
-12633,-2892955.7852810426
-12632,-2892590.544138601
-12631,-2892225.298106351
-12630,-2891860.0584603557
-12629,-2891494.819689474
-12628,-2891129.576433641
-12627,-2890764.341532563
-12626,-2890399.102274745
-12625,-2890033.86123705
-12624,-2889668.626324038
-12623,-2889303.385547946
-12622,-2888938.1490376256
-12621,-2888572.9114247095
-12620,-2888207.666096991
-12619,-2887842.4300649753
-12618,-2887477.190281597
-12617,-2887111.9500342133
-12616,-2886746.7133823438
-12615,-2886381.4705834845
-12614,-2886016.231200506
-12613,-2885650.99021688
-12612,-2885285.747517124
-12611,-2884920.5101803234
-12610,-2884555.271102423
-12609,-2884190.0286255926
-12608,-2883824.7880379763
-12607,-2883459.5471588755
-12606,-2883094.307321945
-12605,-2882729.0713222725
-12604,-2882363.831201247
-12603,-2881998.5943838377
-12602,-2881633.3577597495
-12601,-2881268.117023411
-12600,-2880902.8800957883
-12599,-2880537.641544451
-12598,-2880172.400991682
-12597,-2879807.1606545923
-12596,-2879441.9161994196
-12595,-2879076.67519184
-12594,-2878711.4356376184
-12593,-2878346.195551154
-12592,-2877980.9554061135
-12591,-2877615.7161825923
-12590,-2877250.475646965
-12589,-2876885.2357706837
-12588,-2876519.997499842
-12587,-2876154.75865456
-12586,-2875789.5220089937
-12585,-2875424.281707639
-12584,-2875059.0401579877
-12583,-2874693.80166955
-12582,-2874328.5629997095
-12581,-2873963.324318408
-12580,-2873598.0859783804
-12579,-2873232.8461917154
-12578,-2872867.6065102005
-12577,-2872502.367126013
-12576,-2872137.125543616
-12575,-2871771.886208375
-12574,-2871406.64645091
-12573,-2871041.401486296
-12572,-2870676.1606945563
-12571,-2870310.9192758957
-12570,-2869945.680073916
-12569,-2869580.4448705744
-12568,-2869215.203210674
-12567,-2868849.9668619344
-12566,-2868484.7290374804
-12565,-2868119.4884246094
-12564,-2867754.252938047
-12563,-2867389.0141483992
-12562,-2867023.7746427963
-12561,-2866658.535450848
-12560,-2866293.2909949785
-12559,-2865928.050239659
-12558,-2865562.8126164023
-12557,-2865197.5691828057
-12556,-2864832.3297468126
-12555,-2864467.0901551927
-12554,-2864101.847024522
-12553,-2863736.611059768
-12552,-2863371.369587169
-12551,-2863006.1297790827
-12550,-2862640.8953060564
-12549,-2862275.649150742
-12548,-2861910.4112788346
-12547,-2861545.174195716
-12546,-2861179.933786271
-12545,-2860814.7007404827
-12544,-2860449.459381394
-12543,-2860084.2192448555
-12542,-2859718.9834999256
-12541,-2859353.7389129708
-12540,-2858988.499811773
-12539,-2858623.261961189
-12538,-2858258.016604442
-12537,-2857892.7770032613
-12536,-2857527.5333823394
-12535,-2857162.2902448485
-12534,-2856797.056560533
-12533,-2856431.813317299
-12532,-2856066.574671532
-12531,-2855701.340357758
-12530,-2855336.0971118584
-12529,-2854970.8637250774
-12528,-2854605.6257292153
-12527,-2854240.384283309
-12526,-2853875.150396877
-12525,-2853509.9038589215
-12524,-2853144.662005633
-12523,-2852779.426030135
-12522,-2852414.1823598463
-12521,-2852048.9450423773
-12520,-2851683.7055302532
-12519,-2851318.459841525
-12518,-2850953.225122574
-12517,-2850587.9821061483
-12516,-2850222.740063196
-12515,-2849857.506782567
-12514,-2849492.2613058267
-12513,-2849127.022398251
-12512,-2848761.7851630785
-12511,-2848396.5413893173
-12510,-2848031.310623958
-12509,-2847666.069625509
-12508,-2847300.827854543
-12507,-2846935.594631836
-12506,-2846570.3506685896
-12505,-2846205.1132811187
-12504,-2845839.875866277
-12503,-2845474.6313688066
-12502,-2845109.3935285714
-12501,-2844744.149123272
-12500,-2844378.903376044
-12499,-2844013.6683629556
-12498,-2843648.426556998
-12497,-2843283.1863596523
-12496,-2842917.951133793
-12495,-2842552.706688461
-12494,-2842187.472367786
-12493,-2841822.234549571
-12492,-2841456.9911359176
-12491,-2841091.758844072
-12490,-2840726.5156973368
-12489,-2840361.2732294835
-12488,-2839996.0379371047
-12487,-2839630.7936726296
-12486,-2839265.559456124
-12485,-2838900.319815484
-12484,-2838535.074617099
-12483,-2838169.8385714823
-12482,-2837804.5968057467
-12481,-2837439.3545447113
-12480,-2837074.1183979698
-12479,-2836708.8747486323
-12478,-2836343.6346450634
-12477,-2835978.3945749123
-12476,-2835613.1495356774
-12475,-2835247.9157545827
-12474,-2834882.6785225095
-12473,-2834517.436965583
-12472,-2834152.202585252
-12471,-2833786.961518407
-12470,-2833421.7245855546
-12469,-2833056.487851712
-12468,-2832691.2444005758
-12467,-2832326.0074762916
