year,tdb
-12385,-2802386.2228867887
-12384,-2802020.983936525
-12383,-2801655.7362266798
-12382,-2801290.494074504
-12381,-2800925.253714931
-12380,-2800560.0067686765
-12379,-2800194.7714551175
-12378,-2799829.5283118216
-12377,-2799464.2815318163
-12376,-2799099.043790319
-12375,-2798733.7986964695
-12374,-2798368.5578181893
-12373,-2798003.3150453595
-12372,-2797638.0653132647
-12371,-2797272.8227817127
-12370,-2796907.5768166035
-12369,-2796542.3283813065
-12368,-2796177.0890839705
-12367,-2795811.8458826123
-12366,-2795446.602091591
-12365,-2795081.3609314626
-12364,-2794716.114794609
-12363,-2794350.875478369
-12362,-2793985.636084877
-12361,-2793620.38810372
-12360,-2793255.149595827
-12359,-2792889.9054311644
-12358,-2792524.66081113
-12357,-2792159.420642103
-12356,-2791794.1748609003
-12355,-2791428.9346410697
-12354,-2791063.691133938
-12353,-2790698.442518417
-12352,-2790333.201001116
-12351,-2789967.9577375744
-12350,-2789602.7132998174
-12349,-2789237.4695311943
-12348,-2788872.222915238
-12347,-2788506.978327265
-12346,-2788141.7354678772
-12345,-2787776.4908015784
-12344,-2787411.251521486
-12343,-2787046.0130469324
-12342,-2786680.769591905
-12341,-2786315.5285070892
-12340,-2785950.285661076
-12339,-2785585.0438907435
-12338,-2785219.8025964703
-12337,-2784854.55539799
-12336,-2784489.3111493764
-12335,-2784124.0662324587
-12334,-2783758.820312336
-12333,-2783393.5757851545
-12332,-2783028.3326178556
-12331,-2782663.0890389727
-12330,-2782297.8451874545
-12329,-2781932.6002900414
-12328,-2781567.3578012474
-12327,-2781202.118862332
-12326,-2780836.877196259
-12325,-2780471.6334365206
-12324,-2780106.3913257597
-12323,-2779741.146922555
-12322,-2779375.9041612744
-12321,-2779010.6614181995
-12320,-2778645.419248825
-12319,-2778280.1783135934
-12318,-2777914.9345195023
-12317,-2777549.6887418777
-12316,-2777184.445194536
-12315,-2776819.2026049756
-12314,-2776453.9559174683
-12313,-2776088.7115472844
-12312,-2775723.465392325
-12311,-2775358.220887373
-12310,-2774992.980225349
-12309,-2774627.7349945754
-12308,-2774262.495937382
-12307,-2773897.2556144595
-12306,-2773532.0104203066
-12305,-2773166.7700220924
