year,tt
2527,2644106.842037608
2528,2644472.085261983
2529,2644837.3284863625
2530,2645202.5717107463
2531,2645567.8149351343
2532,2645933.058159527
2533,2646298.3013839237
2534,2646663.5446083248
2535,2647028.7878327304
2536,2647394.031057141
2537,2647759.274281555
2538,2648124.5175059736
2539,2648489.760730397
2540,2648855.003954824
2541,2649220.2471792563
2542,2649585.4904036922
2543,2649950.733628133
2544,2650315.976852578
2545,2650681.220077027
2546,2651046.4633014807
2547,2651411.706525939
2548,2651776.9497504015
2549,2652142.192974868
2550,2652507.4361993396
2551,2652872.679423815
2552,2653237.922648295
2553,2653603.165872779
2554,2653968.409097268
2555,2654333.652321761
2556,2654698.8955462584
2557,2655064.13877076
2558,2655429.3819952663
2559,2655794.6252197768
2560,2656159.868444292
2561,2656525.111668811
2562,2656890.3548933347
2563,2657255.598117863
2564,2657620.841342395
2565,2657986.0845669317
2566,2658351.327791473
2567,2658716.5710160183
2568,2659081.8142405683
2569,2659447.0574651225
2570,2659812.3006896814
2571,2660177.543914244
2572,2660542.7871388113
2573,2660908.0303633832
2574,2661273.2735879594
2575,2661638.5168125397
2576,2662003.7600371246
2577,2662369.003261714
2578,2662734.2464863076
2579,2663099.4897109056
2580,2663464.732935508
2581,2663829.9761601146
2582,2664195.219384725
2583,2664560.462609341
2584,2664925.705833961
2585,2665290.949058585
2586,2665656.1922832136
2587,2666021.4355078465
2588,2666386.6787324836
2589,2666751.9219571254
2590,2667117.1651817714
2591,2667482.4084064215
2592,2667847.6516310764
2593,2668212.894855736
2594,2668578.138080399
2595,2668943.381305067
2596,2669308.6245297394
2597,2669673.867754416
2598,2670039.110979097
2599,2670404.354203782
2600,2670769.597428472
2601,2671134.840653166
2602,2671500.0838778648
2603,2671865.3271025675
2604,2672230.5703272745
2605,2672595.813551986
2606,2672961.0567767024
2607,2673326.3000014224
2608,2673691.543226147
2609,2674056.7864508764
2610,2674422.02967561
2611,2674787.2729003476
2612,2675152.51612509
2613,2675517.7593498365
2614,2675883.0025745872
2615,2676248.2457993426
2616,2676613.489024102
2617,2676978.7322488665
2618,2677343.975473635
2619,2677709.2186984075
2620,2678074.461923185
2621,2678439.7051479663
2622,2678804.948372752
2623,2679170.1915975423
2624,2679535.4348223372
2625,2679900.678047136
2626,2680265.9212719393
2627,2680631.1644967473
2628,2680996.4077215595
2629,2681361.650946376
2630,2681726.8941711965
2631,2682092.1373960217
2632,2682457.3806208516
2633,2682822.6238456857
2634,2683187.867070524
2635,2683553.1102953665
2636,2683918.3535202136
2637,2684283.5967450654
2638,2684648.839969921
2639,2685014.083194781
2640,2685379.326419646
2641,2685744.569644515
2642,2686109.812869388
2643,2686475.0560942655
2644,2686840.299319148
2645,2687205.5425440343
2646,2687570.785768925
2647,2687936.0289938203
2648,2688301.27221872
2649,2688666.5154436235
2650,2689031.758668532
2651,2689397.001893445
2652,2689762.245118362
2653,2690127.488343283
2654,2690492.731568209
2655,2690857.974793139
2656,2691223.2180180736
2657,2691588.4612430125
2658,2691953.7044679555
2659,2692318.947692903
2660,2692684.190917855
2661,2693049.4341428117
2662,2693414.6773677724
2663,2693779.9205927374
2664,2694145.163817707
2665,2694510.407042681
2666,2694875.650267659
2667,2695240.893492642
2668,2695606.1367176287
2669,2695971.37994262
2670,2696336.623167616
2671,2696701.8663926157
2672,2697067.1096176202
2673,2697432.352842629
2674,2697797.5960676423
2675,2698162.83929266
2676,2698528.0825176816
2677,2698893.325742708
2678,2699258.5689677387
2679,2699623.812192774
2680,2699989.0554178134
2681,2700354.298642857
2682,2700719.5418679053
2683,2701084.785092958
2684,2701450.0283180145
2685,2701815.271543076
2686,2702180.5147681413
2687,2702545.7579932115
2688,2702911.001218286
2689,2703276.244443365
2690,2703641.4876684477
2691,2704006.7308935355
2692,2704371.974118627
2693,2704737.2173437234
2694,2705102.460568824
2695,2705467.703793929
2696,2705832.9470190383
2697,2706198.190244152
2698,2706563.4334692704
2699,2706928.6766943927
2700,2707293.9199195197
2701,2707659.163144651
2702,2708024.4063697862
2703,2708389.6495949263
2704,2708754.8928200705
2705,2709120.1360452194
2706,2709485.3792703724
2707,2709850.6224955297
2708,2710215.8657206916
2709,2710581.1089458577
2710,2710946.3521710285
2711,2711311.5953962035
2712,2711676.8386213826
2713,2712042.0818465664
2714,2712407.3250717544
2715,2712772.5682969466
2716,2713137.8115221434
2717,2713503.0547473445
2718,2713868.29797255
2719,2714233.54119776
2720,2714598.784422974
2721,2714964.027648193
2722,2715329.2708734157
2723,2715694.5140986433
2724,2716059.757323875
2725,2716425.000549111
2726,2716790.2437743517
2727,2717155.4869995965
2728,2717520.730224846
2729,2717885.973450099
2730,2718251.2166753574
2731,2718616.4599006195
2732,2718981.703125886
2733,2719346.9463511575
2734,2719712.189576433
2735,2720077.432801713
