year,tt
6329,4032758.4952533976
6330,4033123.73838994
6331,4033488.9815264875
6332,4033854.2246630387
6333,4034219.4677995946
6334,4034584.710936155
6335,4034949.9540727194
6336,4035315.197209289
6337,4035680.4403458624
6338,4036045.68348244
6339,4036410.9266190226
6340,4036776.172043992
6341,4037141.417468967
6342,4037506.6628939454
6343,4037871.9083189284
6344,4038237.153743916
6345,4038602.3991689077
6346,4038967.644593904
6347,4039332.8497650465
6348,4039698.0961023127
6349,4040063.3424395826
6350,4040428.5887768576
6351,4040793.8351141363
6352,4041159.0814514197
6353,4041524.327788708
6354,4041889.574126
6355,4042254.8204632965
6356,4042620.066800597
6357,4042985.313137902
6358,4043350.528530226
6359,4043715.7730455287
6360,4044081.017560836
6361,4044446.262076148
6362,4044811.5065914635
6363,4045176.7511067837
6364,4045541.9956221078
6365,4045907.2401374364
6366,4046272.4846527693
6367,4046637.7291681063
6368,4047002.9463780187
6369,4047368.1889291178
6370,4047733.433880084
6371,4048098.678831055
6372,4048463.923782029
6373,4048829.168733008
6374,4049194.413683992
6375,4049559.6586349793
6376,4049924.903585971
6377,4050290.148536967
6378,4050655.393487967
6379,4051020.6384389717
6380,4051385.8621904706
6381,4051751.1046122964
6382,4052116.3470341265
6383,4052481.5894559612
6384,4052846.8318778
6385,4053212.0742996437
6386,4053577.3167214906
6387,4053942.5591433425
6388,4054307.801565198
6389,4054673.0446396433
6390,4055038.287714092
6391,4055403.5307885455
6392,4055768.7746855556
6393,4056134.0185825704
6394,4056499.2624795893
6395,4056864.506376613
6396,4057229.7502736403
6397,4057594.9854544
6398,4057960.221457674
6399,4058325.468306506
6400,4058690.715155342
6401,4059055.945428594
6402,4059421.1911027413
6403,4059786.436776893
6404,4060151.682451049
6405,4060516.9192860434
6406,4060882.1561210426
6407,4061247.4004926914
6408,4061612.645663602
6409,4061977.8908345173
6410,4062343.136005437
6411,4062708.381176361
6412,4063073.626347289
6413,4063438.8685367126
6414,4063804.1107261404
6415,4064169.3529155725
6416,4064534.593076137
6417,4064899.833236705
6418,4065265.073397278
6419,4065630.3135578544
6420,4065995.5537184356
6421,4066360.7958760103
6422,4066726.0380335897
6423,4067091.280191174
6424,4067456.5270174732
6425,4067821.763759152
6426,4068187.008890177
6427,4068552.25270394
6428,4068917.4965177067
6429,4069282.7403314696
6430,4069647.980773512
6431,4070013.2220741706
6432,4070378.469458017
6433,4070743.7085114354
6434,4071108.952806891
6435,4071474.1971023427
6436,4071839.4356693355
6437,4072204.6794225043
6438,4072569.916824875
6439,4072935.1576524097
6440,4073300.3984799404
6441,4073665.6393074673
6442,4074030.8811724195
6443,4074396.123037367
6444,4074761.3649023105
6445,4075126.614843161
6446,4075491.85923214
6447,4075857.103621114
6448,4076222.3480100846
6449,4076587.590472745
6450,4076952.831837983
6451,4077318.0732032163
6452,4077683.314568445
6453,4078048.55593367
6454,4078413.7972988915
